nid,id,Latitude,Longitude,Overall_Rating,Number_Reviews,Price_Levels,Food_Rating,Service_Rating,Value_Rating,Atmosphere,Name
137,6841,50.004259,5.720143,4,87,2.5,4,4,4,NA,"Alla Dolce Vita, Bastogne"
138,6849,50.004746,5.720804,4.5,12,2.5,5,4.5,5,NA,"Le 222 Bar a Vin, Bastogne"
139,6870,50.006021,5.721132,3.5,26,1,3.5,3.5,3,1.5,"Au Petit Creux, Bastogne"
140,10071,50.00721,5.159866,4,177,2.5,4,4,4,3.5,"Le Fournil - Brasserie Restaurant, Redu"
141,10073,50.007697,5.160921,4,53,2.5,4,4.5,4.5,4.5,"Au clocher, Redu"
142,10072,50.007774,5.16102,4.5,35,2.5,4.5,4.5,4.5,NA,"il Forno - Brasserie Restaurant Pizzas, Redu"
143,6856,50.016322,5.725621,4.5,23,4,4.5,4.5,4,4,"Au Coin Fleuri, Bastogne"
144,8271,50.021352,4.373381,4.5,71,4,4.5,4.5,4.5,4.5,"L'attrape Loup, Chimay"
145,10929,50.022841,5.117004,3.5,27,4,3.5,3.5,3,3.5,moulin de Daverdisse
146,8993,50.025294,5.37373,4,71,2.5,4.5,4.5,4.5,4,"La table des champions, Saint-Hubert"
147,9001,50.025299,5.373712,2.5,33,2.5,3,2.5,2.5,NA,"Le Saint Hubert Restaurant Tavern, Saint-Hubert"
148,8995,50.026188,5.373846,4,62,2.5,4.5,4,4,3.5,"Le basilic, Saint-Hubert"
149,8998,50.028399,5.372342,4,18,9,4,4.5,4.5,4,"Le Coin Gourmand, Saint-Hubert"
150,10768,50.03281,4.923866,4.5,32,2.5,4.5,4.5,4.5,4,"Aux Saveurs D'Ardenne, Vencimont"
151,10769,50.03294,4.924412,4,33,4,4.5,4.5,4,4.5,"Le Barbouillon, Vencimont"
152,8273,50.047268,4.313627,4.5,82,2.5,4,4.5,4,4,"La Charlotte, Chimay"
153,8281,50.047268,4.313627,3.5,11,2.5,3.5,3.5,3,NA,"Xi Wou, Chimay"
154,8278,50.047583,4.316455,4,35,2.5,4,4,4,4,"Le Casino, Chimay"
155,8279,50.048656,4.314258,3.5,54,2.5,4,4,3.5,3.5,"Le Grand Cafe, Chimay"
156,8275,50.048676,4.314311,4,80,2.5,4,4,3.5,4,"La Chimassiette, Chimay"
157,8269,50.049264,4.313665,5,63,4,5,5,4.5,4,"Loriginal, Chimay"
158,8947,50.052363,4.496503,4,63,2.5,4,4,4.5,4.5,"L'Absolu, Couvin"
159,8946,50.052671,4.49441,4,27,2.5,4,4,4,3.5,"Brasserie Jeanne, Couvin"
160,8943,50.052718,4.495084,4.5,27,9,4.5,4.5,4.5,4,"La Table de Nanou, Couvin"
161,8949,50.05291,4.493098,4,38,2.5,4,4,4,3.5,"Restaurant Casa Verde, Couvin"
162,8941,50.053712,4.493094,4.5,45,4,4.5,4.5,4,4,"Nulle part Ailleurs, Couvin"
163,8289,50.062367,4.983455,4,13,1,4,4.5,4.5,NA,"Le Belvedere, Beauraing"
164,11048,50.063838,4.378054,4.5,95,2.5,4.5,4.5,4.5,4.5,"L'eau Blanche, Lompret"
165,11105,50.073606,5.303864,4,25,2.5,4,3.5,4,4,"L'auberge du Sabotier, Awenne"
166,10306,50.074084,4.549313,4,19,9,4.5,4.5,4.5,4.5,"Chez Akim, Nismes"
167,10305,50.075119,4.547302,4,56,2.5,4,4,4,4,"La Bonne Auberge, Nismes"
168,10595,50.077478,5.11432,3.5,25,2.5,3.5,3,3.5,2.5,"La Truite D'argent, Wellin"
169,10594,50.081966,5.113613,4,25,2.5,4,3.5,4,3.5,"Le Relais de la Patache, Wellin"
170,10593,50.081966,5.113613,4,28,2.5,4.5,4.5,4.5,4.5,"L'Atelier des Sens, Wellin"
171,8996,50.084081,5.340594,4,31,9,4.5,4,4.5,4.5,"Al Pele, Saint-Hubert"
172,8277,50.085017,4.293276,4,41,2.5,4,3.5,4,4,"Beauchamp, Chimay"
173,10896,50.091393,4.521076,4,28,2.5,4,4,4,3,"La Tierache, Mariembourg"
174,8286,50.108812,4.957249,4,26,9,4,4,4,NA,"Restaurant Dolce Vita, Beauraing"
175,8287,50.108835,4.9573,4,26,9,4,4,4,NA,"Brasserie du Biran, Beauraing"
176,8283,50.109183,4.962822,4.5,75,4,4.5,4.5,4.5,4.5,"Le Pont des Anges, Beauraing"
177,8284,50.11043,4.96487,4,65,2.5,4,4,4,4,"Le Pelerin, Beauraing"
178,8288,50.110524,4.95521,4.5,11,9,4.5,4.5,4,NA,"patisserie Collin, Beauraing"
179,8502,50.11625,5.816707,3.5,13,2.5,3.5,3,3.5,3,"LE RELAX, Houffalize"
180,8290,50.122418,4.891794,3.5,13,9,3.5,3.5,3,NA,"La Halte des Saveurs, Beauraing"
181,9872,50.124292,5.188989,4,45,2.5,4.5,3.5,4,4.5,"Stradella, Han-sur-Lesse"
182,9877,50.124736,5.189655,2,43,2.5,2.5,2,2,2.5,"O'Gourm'Han, Han-sur-Lesse"
183,9876,50.124778,5.189142,3,35,1,3,3.5,3.5,4,"Brasserie le Central, Han-sur-Lesse"
184,9870,50.124869,5.189135,4,23,2.5,4.5,4.5,4.5,NA,"L'Hexagone, Han-sur-Lesse"
185,9874,50.125236,5.187286,3.5,15,1,3,4,3.5,NA,"Fakkel - Muriel Friterie et Snack, Han-sur-Lesse"
186,9875,50.125673,5.188253,3.5,32,2.5,3.5,3,3,NA,"Bar/Restaurant Van Cocoon Hotel Grenier des Grottes, Han-sur-Lesse"
187,10742,50.12729,5.340162,4.5,47,4,5,5,4.5,4.5,"Le Beau Sejour, Nassogne"
188,10741,50.128624,5.340408,4.5,96,2.5,4.5,4.5,4.5,4.5,"Le Barathym, Nassogne"
189,8499,50.131356,5.789814,4,11,1,4,4.5,4.5,4,"Alta Falisia, Houffalize"
190,8501,50.131533,5.78975,3.5,47,2.5,3.5,3,3.5,3,"Chez l'Italien, Houffalize"
191,8495,50.131981,5.796997,4,28,2.5,3.5,4,4,NA,Vayamundo Houffalize
192,8498,50.132254,5.790086,4,28,1,4,3.5,3.5,3.5,"Comme Chez Moi, Houffalize"
193,8493,50.132287,5.789475,4,38,2.5,3.5,3.5,3.5,3,"Grillade ardennaise, Houffalize"
194,8494,50.132337,5.790454,4,73,2.5,3.5,4,3.5,3.5,"Hotel du Commerce, Houffalize"
195,10604,50.13289,4.141739,4,51,2.5,4,4,4,4.5,"Au Petit Mayeur, Sivry"
196,8490,50.137031,5.787866,4.5,132,4,4.5,4,4,4,"La Fleur de Thym, Houffalize"
197,9048,50.150508,4.505368,3.5,15,9,3.5,3.5,3.5,2.5,"Le royal grill, Philippeville"
198,10984,50.150768,5.743767,3.5,64,2.5,3.5,3.5,3.5,4,"La grange, Achouffe"
199,10983,50.150768,5.743767,3.5,42,2.5,4,4,4,NA,"Taverne de la Chouffe, Achouffe"
200,8497,50.150768,5.743767,4,17,2.5,4,4.5,3.5,2.5,"L'Espine, Wibrin"
201,10411,50.156344,5.66493,4,13,9,3.5,4.5,3.5,2,"Les 5 Ourthes, Nadrin"
202,10410,50.157448,5.679997,4,37,4,4.5,4,4,4,"La Plume D'Oie, Nadrin"
203,10743,50.162192,5.406037,4.5,16,2.5,4.5,5,5,4.5,"Restaurant Le Monument, Nassogne"
204,8500,50.164527,5.724277,4,17,2.5,4,4.5,4,NA,"Le Relais de D'artagnan, Wibrin"
205,10300,50.167231,4.327491,2.5,21,1,3,1.5,3.5,NA,"Iwago 66, Froidchapelle"
206,9685,50.170517,4.411094,4,42,2.5,4.5,4.5,4.5,4,le relais de Cerfontaine
207,7750,50.174757,5.582045,4,24,2.5,4,4,3.5,4,"La Claire Fontaine, La Roche-en-Ardenne"
208,7754,50.179257,5.576175,4,16,2.5,4.5,4,4.5,4,"Du Midi, La Roche-en-Ardenne"
209,7748,50.179456,5.66876,4.5,12,1,4.5,4.5,4.5,5,"le chasselet, La Roche-en-Ardenne"
210,7742,50.18028,5.576629,4,148,2.5,4,4,4,4,"Signe Jeanne, La Roche-en-Ardenne"
211,7755,50.180485,5.576039,4,13,9,4,4,4.5,3.5,"La roche en ardenne, La Roche-en-Ardenne"
212,7753,50.180652,5.575974,3.5,36,1,4,4,4,4,"La Chine, La Roche-en-Ardenne"
213,7745,50.180812,5.577099,4,47,2.5,4.5,4,4.5,4,"Le Quai Son, La Roche-en-Ardenne"
214,7746,50.181291,5.576202,4,60,2.5,4,4,4,3,"L'Apero, La Roche-en-Ardenne"
215,7756,50.181553,5.575283,3.5,30,2.5,4,4,3.5,4.5,"Le Sainte Maxime, La Roche-en-Ardenne"
216,7743,50.181693,5.57526,4.5,41,1,4.5,4.5,4.5,4,"Maison Bouillon et Fils, La Roche-en-Ardenne"
217,7759,50.182082,5.575387,3.5,21,1,3,3,3,2.5,"L'Espadon, La Roche-en-Ardenne"
218,7747,50.182436,5.575546,4.5,12,2.5,5,4.5,4.5,NA,"Le Saint-Michel, La Roche-en-Ardenne"
219,10001,50.182626,4.822744,3.5,11,9,3.5,4,4,4,"Le Palais d'Ete, Hastiere-Lavaux"
220,4242,50.1846647,4.8235884,4,14,9,4.5,4,4.5,4.5,"Le Bord'eaux, Namur"
221,11099,50.190983,4.831513,4,21,2.5,4,4.5,4,4,"La Bonne Heure, Blaimont"
222,9686,50.191063,4.439854,4.5,17,2.5,4.5,4.5,4.5,NA,Relais de Soumoy Restaurant
223,9050,50.196052,4.541759,3,12,9,3.5,2.5,4,3,"Palais de Chine, Philippeville"
224,9043,50.196075,4.540394,4,63,9,4.5,4,4,3.5,"Le Phenicien, Philippeville"
225,9045,50.196142,4.576789,4.5,25,2.5,4.5,4,4,3.5,"La Cote d'Or, Philippeville"
226,11110,50.197023,5.174725,5,11,2.5,5,5,4.5,NA,"L'Estaminet du Pelerin, Foy"
227,9046,50.197452,4.545593,4.5,18,9,4.5,4.5,4,NA,"IL Gusto Giusto, Philippeville"
228,9049,50.199103,4.549086,3.5,86,2.5,4,3.5,4,3.5,"Le Mistral, Philippeville"
229,6453,50.20339,4.888892,4.5,42,4,4.5,4.5,4.5,4.5,"Auberge des Cretes Restaurant, Dinant"
230,11009,50.203953,4.865311,4.5,14,2.5,4.5,4.5,4.5,NA,"Villa 1900, Waulsort"
231,11010,50.204227,4.866737,4.5,18,2.5,5,4.5,4.5,5,Le Vieux Waulsort
232,10026,50.210926,4.966689,3,16,2.5,3.5,3,3.5,4.5,"Auberge de la Lesse, Houyet"
233,7376,50.211737,5.36583,5,72,4,5,4.5,4.5,4.5,"Les 4 Saisons, Marche-en-Famenne"
234,10852,50.215113,6.079372,4.5,13,2.5,5,5,4.5,3.5,"Le Jardin Restaurant, Burg-Reuland"
235,10298,50.215227,4.373779,4,25,2.5,4.5,3.5,3.5,3,"La Ruchette, Froidchapelle"
236,9998,50.216764,4.823992,4.5,58,2.5,4.5,4.5,4.5,4.5,"Prune des Bois, Hastiere-Lavaux"
237,9902,50.217548,4.243353,4.5,124,4,5,4.5,4.5,4.5,"Le Prieure Saint- Gery, Beaumont"
238,10000,50.217958,4.824619,4,20,2.5,4,4,4,3.5,"Le Campagnard, Hastiere-Lavaux"
239,10954,50.218243,4.957921,4.5,51,2.5,4.5,4.5,4.5,4,"Restaurant les Belles Gourmandes, Furfooz"
240,9999,50.218268,4.824435,4.5,27,4,4,4,4,3.5,"La Meunerie, Hastiere-Lavaux"
241,7387,50.218676,5.349928,4.5,66,4,4.5,4,4,4,"La Gloriette, Marche-en-Famenne"
242,7392,50.2194,5.346715,3.5,85,2.5,4,3.5,3.5,4,"Le Manoir, Marche-en-Famenne"
243,7382,50.224828,5.344509,4.5,114,2.5,4.5,4.5,4,4,"l'ineviTable, Marche-en-Famenne"
244,7403,50.22487,5.3445,3,15,9,3,4,3.5,2.5,"Yangtse, Marche-en-Famenne"
245,7381,50.225024,5.343308,4,215,2.5,4,4,3.5,4,"Les Jardins de Bangkok, Marche-en-Famenne"
246,7388,50.225531,5.345141,4,51,1,4,4,4,5,"MandaBar, Marche-en-Famenne"
247,7379,50.225684,5.34433,4.5,82,2.5,4.5,4.5,4.5,3.5,"Le Comptoir Gourmand, Marche-en-Famenne"
248,7389,50.225686,5.344333,4,46,1,4,4,4,3.5,"Delices d'Asie, Marche-en-Famenne"
249,7377,50.225724,5.345615,4.5,233,2.5,4.5,4.5,4,4,"L'effet Boeuf, Marche-en-Famenne"
250,7383,50.226863,5.346061,4.5,45,2.5,4.5,4.5,4.5,4.5,"La Medina, Marche-en-Famenne"
251,7391,50.227628,5.344368,4.5,11,9,5,5,5,5,"Saveurs D'ici Et D'ailleurs, Marche-en-Famenne"
252,7396,50.227675,5.341503,3.5,55,2.5,3.5,4,4,3,"San Marino, Marche-en-Famenne"
253,7393,50.227738,5.34366,4,13,1,4.5,4.5,4.5,3,"Les Glaces de Lalie, Marche-en-Famenne"
254,7395,50.22789,5.341938,3.5,40,2.5,3,3.5,3,3.5,"Le Palais d'Ete, Marche-en-Famenne"
255,7390,50.227895,5.344209,3.5,74,2.5,4,3.5,4,3.5,"La Vita E Bella, Marche-en-Famenne"
256,7399,50.228181,5.344359,4,18,2.5,4,4.5,4.5,NA,"Pidezza, Marche-en-Famenne"
257,10025,50.229398,5.007583,4,25,2.5,4.5,4,4,4,"Le Val Joli, Houyet"
